"WEIR, Amanda",United States
"VEERING, Klaas",Netherlands
"RYAN, Melissa",United States
"MASKE, Henry",German Democratic Republic
"OBERBURGER, Norberto",Italy
"WILKE, Marina",German Democratic Republic
"GELPKE, Manfred",German Democratic Republic
"CHUNG, Jae-Hun","Korea, South"
"HENLEY, Ernest John",United Kingdom
"VARGA, Daniel Rudolf",Hungary
"DE VRIES LENTSCH JR., Willem",Netherlands
FIELD,France
"STUKELJ, Leon",Yugoslavia
"PEZZO, Paola",Italy
"OGAZA, Roman",Poland
"DECUGIS, Max",Mixed Team
"LASURTEGUI BERRIDI, Luis Maria",Spain
"HUANG, Hua",China
"BRAND, Daniel Oliver",United States
SIMONE,Brazil
"POPESCU, Florin",Romania
"OLSHANSKY, Sergei",Soviet Union
"VASALA, Pekka",Finland
"CLARK, Sally",New Zealand
"ARKHIPENKO, Vasili",Soviet Union
"VOGT, Richard",Germany
LUCAS,Brazil
"DIXON, Craig",United States
"BOOMGAARDT, Ageeth",Netherlands
"DE WEYLOCHNIKOFF, Pavel",Russian Empire
"SUN, Qingmei",China
"LUBIN, Frank John",United States
"NOKES, Malcolm Cuthbert",United Kingdom
"CARVALHO, Janelson",Brazil
"THREDGOLD, Gavin",Australia
"THORSEN, Rolf Bernt",Norway
"BIJOTAT, Dominique",France
"SCHMIDT, Thomas",Germany
"BAYARSAIKHAN, Namjil",Mongolia
"GRIEB, John",United States
"MORAITI, Antonia",Greece
"CAUTLON, J.",United Kingdom
"CURINIER, Sylvain",France
ALEXANDRE PATO,Brazil
"HANSEN, Christina Roslyng",Denmark
"MIWA, Takashi",Japan
"YOU, In-Tak","Korea, South"
"EICKE, Ulrich",West Germany
"TRENKWALD, Jozef",Poland
"SPAIN, John Kenneth",United States
"MASSEIKOV, Alexandre",Unified Team
"DELFINO, Carlos Francisco",Argentina
"BULGARELLI, Emilio",Italy
"HIRSCHL, Nikolaus",Austria
ROSANA,Brazil
"PONSTEEN, Herman",Netherlands
"MANINA, Tamara",Soviet Union
"ZWOLINSKI, Krzysztof",Poland
"LOPEZ DIAZ FLOR, Jose Ramon",Spain
"LEE, Jongwook","Korea, South"
"BONAMICO, Marco",Italy
"YAO, Fen",China
"SPOCK, Benjamin",United States
"BENT, Neisser",Cuba
"DJOKOVIC, Novak",Serbia
"CONTESSI, Luigi",Italy
"AJETE, Omar",Cuba
"TZONOV, Ivan",Bulgaria
"SMALL, Kim",Australia
"TURNBULL, Alexander T.",Canada
"GOSSWEILER, Marianne",Switzerland
